Precip.Index,Fledge.Counts
0.200214452575892,4
0.685218595666811,4
0.91687577450648,2
0.284399457275867,0
0.104650127934292,1
0.701057459227741,0
0.527959984261543,5
0.807935200864449,4
0.9565001251176,2
0.110453018685803,2
0.273284949595109,2
0.490513201802969,1
0.318404018646106,1
0.559172826586291,2
0.262593138730153,1
0.201875211205333,3
0.387525747064501,1
0.887869771569967,3
0.55492255394347,2
0.842179385246709,2
0.890207114629447,6
0.720700970385224,3
0.211340273730457,2
0.225717290770262,3
0.139983697095886,3
0.479913854040205,1
0.437411859631538,1
0.965964139439166,3
0.141913911094889,1
0.954978888388723,2
0.444730556104332,1
0.0593624736648053,1
0.275149184744805,2
0.0311482592951506,1
0.0144823438022286,1
0.487169028958306,1
0.595151623012498,2
0.597853036830202,0
0.397680514957756,2
0.396830396959558,1
